ID,Name_lang
724,Lightwell
5570,Insect Swarm
10060,Power Infusion
13705,Precision
13706,Hack and Slash
13707,Fist Weapon Specialization
13713,Deflection
13715,Dual Wield Specialization
13732,Improved Sinister Strike
13741,Improved Gouge
13742,Endurance
13743,Improved Sprint
13750,Adrenaline Rush
13754,Improved Kick
13877,Blade Flurry
13958,Master of Deception
13975,Camouflage
13976,Initiative
13981,Elusiveness
13983,Setup
14057,Opportunity
14076,Improved Sap
14079,Improved Ambush
14082,Dirty Deeds
14113,Improved Poisons
14128,Lethality
14138,Malice
14144,Remorseless Attacks
14156,Ruthlessness
14158,Murder
14162,Improved Eviscerate
14165,Improved Slice and Dice
14168,Improved Expose Armor
14171,Serrated Blades
14174,Improved Kidney Shot
14177,Cold Blood
14179,Relentless Strikes
14183,Premeditation
14185,Preparation
14186,Seal Fate
14278,Ghostly Strike
14520,Mental Agility
14522,Unbreakable Will
14523,Silent Resolve
14531,Martyrdom
14747,Improved Inner Fire
14748,Improved Power Word: Shield
14749,Improved Power Word: Fortitude
14750,Improved Mana Burn
14751,Inner Focus
14752,Divine Spirit
14889,Holy Specialization
14892,Inspiration
14898,Spiritual Healing
14901,Spiritual Guidance
14908,Improved Renew
14909,Searing Light
14912,Improved Healing
14913,Twilight Focus
14983,Vigor
15237,Holy Nova
15257,Shadow Weaving
15259,Darkness
15260,Shadow Focus
15268,Blackout
15270,Spirit Tap
15273,Improved Mind Blast
15274,Improved Fade
15275,Improved Shadow Word: Pain
15286,Vampiric Embrace
15318,Shadow Affinity
15392,Improved Psychic Scream
15407,Mind Flay
15473,Shadowform
16035,Concussion
16038,Call of Flame
16039,Convection
16040,Reverberation
16043,Earth's Grasp
16086,Improved Fire Nova
16120,Call of Thunder
16164,Elemental Focus
16173,Totemic Focus
16176,Ancestral Healing
16178,Purification
16179,Tidal Focus
16180,Nature's Guidance
16181,Healing Focus
16182,Improved Healing Wave
16184,Improved Reincarnation
16187,Restorative Totems
16188,Nature's Swiftness
16189,Totemic Mastery
16190,Mana Tide Totem
16194,Tidal Mastery
16255,Thundering Strikes
16258,Guardian Totems
16259,Enhancing Totems
16261,Improved Lightning Shield
16262,Improved Ghost Wolf
16266,Elemental Weapons
16268,Spirit Weapons
16269,Two-Handed Axes and Maces
16511,Hemorrhage
16513,Vile Poisons
16578,Elemental Alacrity
16579,Lightning Mastery
16689,Nature's Grasp
16814,Improved Wrath
16819,Nature's Reach
16821,Improved Moonfire
16833,Natural Shapeshifter
16836,Improved Thorns
16845,Moonglow
16850,Improved Starfire
16858,Feral Aggression
16864,Omen of Clarity
16880,Nature's Grace
16896,Moonfury
16902,Natural Weapons
16918,Improved Entangling Roots
16929,Thick Hide
16940,Brutal Impact
16942,Sharpened Claws
16947,Feral Instinct
16966,Shredding Attacks
16968,Improved Shred
16972,Predatory Strikes
16979,Feral Charge (Bear)
16998,Savage Fury
17002,Feral Swiftness
17003,Heart of the Wild
17007,Leader of the Pack
17050,Improved Mark of the Wild
17056,Furor
17063,Nature's Focus
17069,Naturalist
17074,Improved Regrowth
17079,Improved Enrage
